,id,title,authors,words,rating,category,fandoms,warnings,relationships,characters,additional_tags,summary,language,chapters,comments,kudos,bookmarks,hits,last_visited,last_updated,published
0,25147690,Sing Me Awake,['ShippersList'],6505,Teen And Up Audiences,['M/M'],"['The Witcher (TV)', 'Wiedźmin | The Witcher - All Media Types']",['No Archive Warnings Apply'],['Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion'],"['Jaskier | Dandelion', 'Geralt z Rivii | Geralt of Rivia', 'Original Witcher Character(s)', 'Yennefer z Vengerbergu | Yennefer of Vengerberg', 'Cirilla Fiona Elen Riannon']","['Alternate Universe - Canon Divergence', 'Alternate Universe - Daemons', 'POV Jaskier | Dandelion', 'Emotional Hurt/Comfort', 'Jaskier | Dandelion Whump', 'Emotionally Constipated Geralt z Rivii | Geralt of Rivia', 'Angst with a Happy Ending', 'Angst and Feels', 'Depression', 'Character Study', 'Stream of Consciousness']","<p>Witchers don’t have daemons, that’s why they don’t feel.</p><p>…it’s not exactly true.</p>",English,?,3,96,11,367,2020-07-10,,
1,634290,A Shot in the Dark,['Silver_pup'],213188,Teen And Up Audiences,['M/M'],"['The Hobbit (2012)', 'The Hobbit - J. R. R. Tolkien', 'The Hobbit - All Media Types']",['No Archive Warnings Apply'],"['Bilbo Baggins/Thorin Oakenshield', 'Glóin/Canonical Wife', 'Bard of Laketown/Canonical Wife', 'Dís/Canonical Husband']","['Bilbo Baggins', 'Thorin Oakenshield', 'Gandalf', 'Fíli', 'Kíli', 'Balin', 'Dwalin', 'Dori', 'Nori', 'Ori - Character', 'Bofur', 'Bifur', 'Bombur', 'Glóin', 'Óin', 'Beorn', 'Tauriel', 'Bard of Laketown', 'Dáin Ironfoot', 'Dís', 'Thranduil', 'Legolas Greenleaf']","['Time Travel', 'Fix-It', 'Alternate Universe', 'Possessive Dwarves', 'BAMF!Bilbo', 'BAMF!Dwarves', 'bagginshield', 'Bilbo is determined to save everyone', ""Thorin's awkward flirting"", 'Bilbo is a space cadet', 'The Company is so done with this shit', 'Bard & Bilbo are total bros', 'Beorn is adorkable', 'Tauriel is not buying your bullshit Bilbo', 'Dain is judging you all', 'Fluff', 'Bromance', 'Male-Female Friendship', 'Male Friendship', 'Friends to Lovers', 'Eventual Happy Ending', 'Slow Build', 'Slow Burn', 'Feels', 'Abuse Of Feels']","<p>When he opens his eyes again, he finds himself in his old bed in his old home in his old body. Is this death? Or a trick of magic? Either way, Bilbo recognizes a second chance when he sees one, and this time his adventure with Thorin is going to go a bit differently.</p>",English,?,4726,14474,4770,465441,2020-07-10,,
2,1669439,Brooklyn,['togina'],8749,Teen And Up Audiences,['M/M'],"['Captain America (Movies)', 'Captain America - All Media Types']",['No Archive Warnings Apply'],"['James ""Bucky"" Barnes/Steve Rogers']","['Steve Rogers', 'James ""Bucky"" Barnes', 'Tony Stark', 'Natasha Romanov', 'Sam Wilson (Marvel)', 'Other Avengers']","['Angst', 'Followed by Schmoop']","<p>""Captain America, what's your stance on gay marriage?""</p><p>Everyone knows that, by now. Everyone but Bucky.</p><p>(2015: Chinese translation available!)</p>",English,?,686,14508,3676,184405,2020-07-10,,
3,25175017,"well, isn't it delicious (crazy way that i'm kissin')",['champcgne'],2504,Teen And Up Audiences,['M/M'],['富豪刑事 Balance:UNLIMITED | Fugou Keiji: Balance:Unlimited (Anime)'],['No Archive Warnings Apply'],['Kambe Daisuke/Katou Haru'],[],"['Pre-Relationship', 'Romantic Friendship', 'Sexual Tension']","<p></p><blockquote>
<p>kamei, yumoto, and saeki are on the lookout for undebatable proof that daisuke and haru are more than just ‘friends’ – naturally, matching swollen lips are as good as spoken confession.</p>
</blockquote><p>5 times daisuke and haru almost kiss</p><p>+</p><p>1 time they do.</p>",English,?,12,85,3,590,2020-07-09,,
4,3100202,You Made Me Marry Kreacher,['iamisaac'],3348,Explicit,['M/M'],['Harry Potter - J. K. Rowling'],['see pairings'],"['Ron/Kreacher', 'Ron/Harry', 'Harry Potter/Ron Weasley']","['Ginny Weasley', 'Ron Weasley', 'Harry Potter']","['mock marriage', 'Mildly Dubious Consent', 'Anal Sex', 'Eventual Fluff', 'Mistaken Identity']",none,English,?,1,49,2,1571,2020-07-09,,
5,25174567,headed straight for the castle,['wynnebat'],4474,Teen And Up Audiences,['M/M'],"['Harry Potter - J. K. Rowling', 'Marvel Cinematic Universe']",['No Archive Warnings Apply'],['Loki (Marvel)/Harry Potter'],"['Loki (Marvel)', 'Harry Potter']","['Crossover', 'Post-Thor (2011)', 'Suicide Attempt', 'Alternate Universe']","<p>“I am Loki,” he says in reply. He doesn’t continue. He is not of Asgard when he has forsaken it, he cannot claim to be an Odinson when it was never true. He certainly cannot claim to be a Laufeyson after killing his true father in cold blood. Loki is the only name he has. </p><p>“I know,” is Harry’s reply. </p><p>“How could you possibly know?” </p><p>Harry shrugs. “I tend to know things. Perk of the job.”</p><p>“And what is your job?”</p><p>Harry turns to him, green eyes light. “Keeper of the keys.”</p>",English,?,24,341,68,1174,2020-07-09,,
6,14450364,【忘羡】来呀相互伤害呀（全文＋番外）,['kehsin384'],126143,Teen And Up Audiences,['M/M'],['魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù'],['Choose Not To Use Archive Warnings'],"['蓝忘机/魏无羡', '蓝湛/魏婴']",[],[],none,中文,?,33,16244,59,1457637,2020-07-09,,
7,7841764,"call me, beep me",['orphan_account'],85591,General Audiences,['M/M'],['Voltron: Legendary Defender'],"['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']","['Keith/Lance (Voltron)', 'Hunk & Lance (Voltron)', 'Keith & Pidge | Katie Holt', 'Keith & Shiro (Voltron)']","['Keith (Voltron)', 'Lance (Voltron)', 'Hunk (Voltron)', 'Pidge (Voltron)', 'Shiro (Voltron)']","['Alternate Universe - Modern Setting', 'Wrong Number AU', 'Texting', 'Minor - Shallura']","<p></p><blockquote>
<p>(00:31) Do you think she gave me the wrong number on purpose?<br/>(00:31) Or was it a genuine mistake?<br/>(00:32) Like maybe she writes funny and I misread it?<br/>(00:32) Some of the numbers do look a little dodgy...<br/>(00:33) Cause, you know, her threes <i>could</i> very easily be poorly formed eights? And maybe she writes her sevens like her ones?<br/><i>(00:45) What</i><br/><i>(00:46) The</i><br/><i>(00:46) Fuck???<i></i></i><br/>(00:47) Oh good, you <i>are</i> awake!<br/></p>
</blockquote><br/>where lance messages the wrong number and things kind of snowball from there",English,?,4168,36708,7144,499832,2020-07-09,,
8,492796,Integral to Survival,['asocialfauxpas (fuzzytomato)'],8529,Mature,['M/M'],['Teen Wolf (TV)'],['No Archive Warnings Apply'],['Derek Hale/Stiles Stilinski'],"['Derek Hale', 'Stiles Stilinski', 'Scott McCall', 'Isaac Lahey', 'Sheriff Stilinski', 'Chris Argent']","['Hurt/Comfort', 'Implied Torture', 'Kidnapping']","<p>Derek is in the cell for about ten minutes before the lone door opens and a new body is tossed in. The person hits the floor with a grunt, rolls, and stands as the door is clanging shut. </p><p>“That’s really not the way to treat a guest!”</p>",English,?,552,18801,5111,319425,2020-07-09,,
9,13934538,The Darker Sides of Deku,"['New_Prussia', 'OnlyRoomForHope', 'serenawitchwriter', 'ViperFang']",137425,General Audiences,['Gen'],['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],['Choose Not To Use Archive Warnings'],[],"['Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Bakugou Katsuki', 'Uraraka Ochako', 'Iida Tenya', 'Shuuzenji Chiyo | Recovery Girl', 'Yagi Toshinori | All Might', 'Shinsou Hitoshi', 'just the entire cast', 'Todoroki Shouto', 'Kouda Kouji', 'Midoriya Inko', 'Midoriya Hisashi', 'Amajiki Tamaki']","['Swearing', 'some violence', 'dark deku', 'Angst', 'Psychology', 'nedzu is a dangerous mouse bear thing', 'aizawa needs a vacation', 'Comedy', 'Friendship', 'Deku might need therapy', 'Drabble Collection', 'kind of', 'Depressed Midoriya Izuku', 'Iida needs an aspirin', 'Anxiety', 'Panic Attacks', 'Torture', 'Bakugou Katsuki Swears A Lot', 'tensei also needs an aspirin', ""midoriya is slowly killing the iida's"", 'kouda gets his own tag because he needs more fics', 'Post-Traumatic Stress Disorder - PTSD', 'Bullying', 'Muteness', 'BAMF Midoriya Inko', 'BAMF Midoriya Izuku', ""Don't Mess With This Family"", 'midoriya hisashi is a punk ass bitch', 'Fandom', 'Fandom Culture', 'Violence', 'stain what are you even doing', 'Concern', 'BAMF Uraraka Ochako', 'Murder', 'Child Death', 'Graphic Description of Corpses', 'Bodyswap', 'One Shot Collection', 'Character Development', ""bakugou get's punched in the face"", 'Feelings', 'dadmight', 'Family', 'actual honest to god character development', 'Midoriya Izuku is a villain magnet', 'Dabi is a Todoroki', 'Social Anxiety', 'amijaki is a good boy', 'some wholesome content', 'Nightmares', 'Soft Boys', ""kaminari's quirk isn't good for him"", 'Kaminari Denki Has ADHD', 'Trans Ashido Mina']",<p>It’s easy to forget with his bright smiles and positive personality that Midoriya Izuku isn’t the living embodiment of sunshine.<br/>Or: Moments when class 1-A and company notice that Izuku isn’t quite as pure as they think he is.</p>,English,?,3961,15049,3213,269865,2020-07-09,,
